iter	RMSE
0	78859.16221
1	78288.91614
2	77763.31623
3	77248.45598
4	76709.18609
5	76219.81147
6	75760.42927
7	75244.36925
8	74761.86121
9	74260.15245
10	73750.77155
11	73313.83075
12	72834.81456
13	72384.10667
14	71916.91269
15	71452.68479
16	70981.20692
17	70538.3262
18	70055.74375
19	69620.66629
20	69147.00835
21	68722.54637
22	68297.24392
23	67854.55721
24	67454.90925
25	67025.31275
26	66607.66027
27	66205.28679
28	65803.09822
29	65395.89376
30	65037.71957
31	64640.33306
32	64238.82839
33	63814.70402
34	63434.46786
35	63069.07312
36	62685.25039
37	62324.26255
38	61950.36668
39	61556.05751
40	61186.89475
41	60825.52068
42	60474.20707
43	60126.16943
44	59777.59279
45	59415.36941
46	59062.14862
47	58742.01672
48	58425.83973
49	58084.35629
50	57744.9201
51	57444.45896
52	57104.30577
53	56775.9262
54	56489.64303
55	56166.65634
56	55865.53535
57	55559.32826
58	55246.20116
59	54943.78336
60	54667.00932
61	54385.25177
62	54094.22602
63	53788.97143
64	53506.34313
65	53218.87034
66	52934.79077
67	52645.66506
68	52393.77073
69	52122.09358
70	51846.08966
71	51539.26411
72	51260.09231
73	50984.96433
74	50730.16446
75	50458.70823
76	50198.0324
77	49949.16073
78	49683.0856
79	49435.27071
80	49192.46435
81	48954.71027
82	48702.86713
83	48472.28752
84	48234.63827
85	48026.46789
86	47796.53948
87	47537.3037
88	47318.93385
89	47089.62594
90	46869.73841
91	46645.08423
92	46457.21385
93	46214.17146
94	45999.33604
95	45799.29087
96	45584.37026
97	45355.36693
98	45136.80815
99	44919.45628
100	44723.54171
101	44513.02282
102	44307.49397
103	44111.50432
104	43911.8706
105	43739.4511
106	43532.87361
107	43334.50343
108	43154.69646
109	42942.09434
110	42763.23822
111	42587.14615
112	42415.49596
113	42229.24466
114	42058.89268
115	41893.54015
116	41710.2989
117	41529.44963
118	41345.8169
119	41155.24145
120	40961.32892
121	40794.40408
122	40643.47019
123	40475.37007
124	40309.398
125	40135.41729
126	39981.0351
127	39835.24113
128	39671.90155
129	39494.01351
130	39317.48634
131	39182.67399
132	39033.34953
133	38882.15181
134	38730.89378
135	38585.7539
136	38446.85898
137	38301.3217
138	38147.96164
139	37998.16186
140	37849.99138
141	37710.27955
142	37573.28807
143	37431.9877
144	37278.12677
145	37159.9521
146	37018.63721
147	36861.86188
148	36726.04242
149	36587.22154
150	36454.11689
151	36319.63456
152	36190.60176
153	36065.34635
154	35954.54088
155	35819.78165
156	35709.08933
157	35585.03193
158	35488.43714
159	35361.56589
160	35219.67494
161	35087.70746
162	34978.99929
163	34864.82993
164	34752.54785
165	34644.39228
166	34534.6282
167	34421.77244
168	34295.84195
169	34181.51429
170	34086.50307
171	33966.19216
172	33838.3056
173	33740.35525
174	33629.65111
175	33529.77558
176	33432.40926
177	33327.35189
178	33210.31809
179	33120.86519
180	33015.40276
181	32902.95599
182	32823.4397
183	32711.35784
184	32598.65333
185	32482.41637
186	32361.69531
187	32244.6337
188	32156.09946
189	32058.28239
190	31946.60242
191	31854.83279
192	31775.27244
193	31696.04685
194	31593.90545
195	31503.18654
196	31415.26559
197	31333.59342
198	31240.85395
199	31171.40741
200	31094.29396
201	31010.84127
202	30921.06472
203	30821.90152
204	30741.32373
205	30665.86488
206	30589.95651
207	30509.91155
208	30424.65675
209	30345.68484
210	30267.43208
211	30189.90605
212	30119.65669
213	30037.53988
214	29960.6584
215	29884.09192
216	29797.12761
217	29708.48426
218	29620.49545
219	29529.99516
220	29440.63009
221	29357.92528
222	29279.4295
223	29214.31669
224	29126.46649
225	29046.78822
226	28985.65566
227	28931.06903
228	28859.71042
229	28796.89531
230	28723.09766
231	28631.78263
232	28560.97794
233	28500.18299
234	28417.85135
235	28348.2654
236	28263.72734
237	28183.99245
238	28105.44383
239	28052.00956
240	27993.23449
241	27911.54653
242	27843.48052
243	27785.17032
244	27724.8647
245	27649.79903
246	27597.71098
247	27525.39287
248	27471.30812
249	27406.28204
250	27350.49603
251	27289.06901
252	27235.7193
253	27177.50629
254	27123.23667
255	27065.44097
256	27012.87772
257	26946.15905
258	26874.82103
259	26818.21321
260	26756.72238
261	26707.45061
262	26644.49328
263	26598.84269
264	26543.21286
265	26491.19287
266	26441.46663
267	26389.97603
268	26338.59533
269	26282.64069
270	26239.95359
271	26180.8894
272	26117.50793
273	26051.57325
274	25992.561
275	25948.07983
276	25898.29111
277	25838.4681
278	25779.35892
279	25732.63679
280	25678.275
281	25626.91764
282	25579.68783
283	25518.91381
284	25480.18084
285	25424.04121
286	25364.2672
287	25317.59663
288	25262.53064
289	25226.30402
290	25187.63692
291	25139.72938
292	25081.75731
293	25040.37362
294	24993.81415
295	24944.03922
296	24897.89291
297	24862.90206
298	24819.38973
299	24773.49268
300	24733.13296
301	24696.55977
302	24649.26229
303	24604.56387
304	24561.1695
305	24521.45863
306	24483.16931
307	24434.01074
308	24395.86994
309	24356.26216
310	24321.57253
311	24276.77056
312	24240.21327
313	24217.49217
314	24176.78297
315	24138.90077
316	24098.27005
317	24064.5618
318	24022.07714
319	23982.63028
320	23951.73145
321	23922.93533
322	23887.73748
323	23856.68251
324	23828.3411
325	23789.10395
326	23760.68813
327	23722.37609
328	23685.23111
329	23647.90452
330	23618.55079
331	23572.60176
332	23523.91699
333	23485.3987
334	23451.93543
335	23421.20079
336	23378.9338
337	23344.07596
338	23311.75028
339	23278.22568
340	23241.53685
341	23220.07152
342	23190.96911
343	23163.65441
344	23129.84643
345	23094.87263
346	23064.65196
347	23022.88606
348	22996.05233
349	22963.83808
350	22925.41268
351	22888.6803
352	22856.88646
353	22832.37327
354	22794.36762
355	22768.08802
356	22737.5672
357	22717.73503
358	22679.88961
359	22644.50675
360	22610.19899
361	22575.86817
362	22544.92445
363	22510.27851
364	22481.65048
365	22448.03171
366	22411.62386
367	22373.22427
368	22346.72407
369	22318.55313
370	22285.70606
371	22261.08163
372	22233.75756
373	22207.8995
374	22181.14405
375	22158.56165
376	22127.60686
377	22096.98169
378	22073.99278
379	22051.9503
380	22019.41853
381	21987.26804
382	21958.27107
383	21931.08151
384	21906.25444
385	21883.59401
386	21848.65441
387	21825.37578
388	21800.7079
389	21768.3607
390	21746.82981
391	21721.22681
392	21694.16821
393	21671.85156
394	21650.50708
395	21615.38723
396	21590.12326
397	21573.18412
398	21553.9916
399	21525.54211
400	21499.08177
401	21475.23714
