iter	Passed	Remaining
0	3	1068
1	6	979
2	8	882
3	10	809
4	12	754
5	13	684
6	16	676
7	18	659
8	19	634
9	21	622
10	23	618
11	25	606
12	26	590
13	28	584
14	30	574
15	31	558
16	32	546
17	34	534
18	35	523
19	36	513
20	37	503
21	39	494
22	40	489
23	41	481
24	43	476
25	44	471
26	46	467
27	47	461
28	49	460
29	50	452
30	51	446
31	52	442
32	54	440
33	55	436
34	57	436
35	59	437
36	61	435
37	62	431
38	64	433
39	66	429
40	67	424
41	68	420
42	69	415
43	70	411
44	71	407
45	73	403
46	74	399
47	75	395
48	76	392
49	77	389
50	79	388
51	81	386
52	82	384
53	84	383
54	85	380
55	86	377
56	87	374
57	88	371
58	90	367
59	92	370
60	96	378
61	97	375
62	99	374
63	101	375
64	103	375
65	105	372
66	107	373
67	109	373
68	111	374
69	113	373
70	115	372
71	117	372
72	119	370
73	121	371
74	123	369
75	124	366
76	125	363
77	127	361
78	128	360
79	130	358
80	131	355
81	133	355
82	135	354
83	137	352
84	139	351
85	140	350
86	143	350
87	144	349
88	146	348
89	148	345
90	149	343
91	151	343
92	153	340
93	155	339
94	156	337
95	158	336
96	160	335
97	161	332
98	162	330
99	164	329
100	165	326
101	167	325
102	169	324
103	171	322
104	172	320
105	174	319
106	175	316
107	177	316
108	180	315
109	181	313
110	183	312
111	185	311
112	187	310
113	189	309
114	191	307
115	193	306
116	194	304
117	196	302
118	197	300
119	199	299
120	200	297
121	202	296
122	205	295
123	206	293
124	208	291
125	210	290
126	212	288
127	213	287
128	215	285
129	217	284
130	219	282
131	221	281
132	222	279
133	224	277
134	226	276
135	227	274
136	229	272
137	231	271
138	233	269
139	234	267
140	235	265
141	237	263
142	238	261
143	240	260
144	241	258
145	243	256
146	244	254
147	246	253
148	248	251
149	249	249
150	251	248
151	252	246
152	255	245
153	256	243
154	258	241
155	260	240
156	261	238
157	263	236
158	264	234
159	266	232
160	267	230
161	269	229
162	270	227
163	272	225
164	274	224
165	276	222
166	277	220
167	279	219
168	280	217
169	282	215
170	283	214
171	285	212
172	287	210
173	288	208
174	290	207
175	291	205
176	293	204
177	295	202
178	297	200
179	298	199
180	300	197
181	301	195
182	303	194
183	304	192
184	306	190
185	308	188
186	310	187
187	312	186
188	313	184
189	315	182
190	316	180
191	318	179
192	320	177
193	321	175
194	323	174
195	325	172
196	327	171
197	328	169
198	330	167
199	332	166
200	334	164
201	335	162
202	337	161
203	338	159
204	340	157
205	341	155
206	343	154
207	344	152
208	346	150
209	348	149
210	350	147
211	352	146
212	355	145
213	357	143
214	359	141
215	360	140
216	362	138
217	364	137
218	366	135
219	368	134
220	370	132
221	372	130
222	373	128
223	375	127
224	377	125
225	378	123
226	379	122
227	381	120
228	383	118
229	385	117
230	386	115
231	387	113
232	389	112
233	391	110
234	392	108
235	394	106
236	396	105
237	397	103
238	399	102
239	401	100
240	402	98
241	405	97
242	406	95
243	408	93
244	410	92
245	411	90
246	413	88
247	414	86
248	416	85
249	418	83
250	420	82
251	422	80
252	424	78
253	425	77
254	426	75
255	428	73
256	429	71
257	431	70
258	432	68
259	434	66
260	435	65
261	436	63
262	438	61
263	439	59
264	441	58
265	443	56
266	444	54
267	446	53
268	448	51
269	450	50
270	452	48
271	456	46
272	457	45
273	459	43
274	460	41
275	462	40
276	463	38
277	465	36
278	466	35
279	468	33
280	470	31
281	471	30
282	473	28
283	475	26
284	476	25
285	478	23
286	480	21
287	481	20
288	483	18
289	485	16
290	487	15
291	488	13
292	490	11
293	491	10
294	492	8
295	493	6
296	495	5
297	496	3
298	499	1
299	502	0
